"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"0610007P14Rik"	1242.23779480519	0.0533156556561454	0.121111317657607	0.25245769106516	0.88141311624772	0.945604197317812
"0610009B22Rik"	505.977268061397	-0.0540229353979547	0.178911831572587	1.68687683453208	0.430228671583834	0.644361218373303
"0610009L18Rik"	25.0385747064121	-1.49015544055467	0.646420156026844	6.69790703101746	0.0351210885509615	0.110381658541383
"0610009O20Rik"	283.513506233074	0.414504516505013	0.214448141485611	3.94427650183511	0.139158981043712	0.304330357395963
"0610010F05Rik"	204.039991184568	0.698087933612341	0.233163825793404	10.0124815773834	0.00669602783602143	0.0287372322751481
"0610010K14Rik"	1196.12862522605	0.0434627816270385	0.146595459198683	0.094717534255409	0.953745163789948	0.978110156407795
"0610011F06Rik"	18.7593979636178	-0.800325966502896	0.752126891095874	1.22277198932142	0.542598309313448	0.737333884387742
"0610012G03Rik"	2250.66380913609	-0.0636771401128021	0.130084091572264	0.276486275975444	0.870886920308664	0.941391646225009
"0610030E20Rik"	342.54007162378	0.0277504563938401	0.190673990847029	0.0312933129754001	0.984475116501294	0.99260501108784
"0610037L13Rik"	271.027135974072	-0.0667357805123661	0.253478524207145	0.193891212576006	0.907605372815898	0.958220035626458
"0610038B21Rik"	226.165918888687	-0.0559919983936271	0.246727502577296	0.841084859107625	0.65669051484566	0.817925153227407
"0610040B10Rik"	7.44312941852391	-0.515600859169754	1.16069436874886	0.464106655493872	0.792903838403975	0.899759613870167
"0610040F04Rik"	127.778577741877	-0.420925748949315	0.308455104315882	2.30053035744632	0.31655281517677	0.532404437106202
"0610040J01Rik"	615.986980733356	0.206648793090269	0.15375372429172	2.79662497096825	0.247013451213151	0.453282739985718
"1110001J03Rik"	61.7171524718085	0.289627209582336	0.522206322242822	0.340644350385709	0.843393052501568	0.925984126458625
"1110002L01Rik"	4.58295787441206	-2.49453202418827	1.73365765911241	2.09578230891392	0.350676492447726	0.566670950501565
"1110004E09Rik"	3445.7294597163	0.411606233594651	0.107781121970886	19.5310967819506	5.73952855678977e-05	0.000457862007084577
"1110004F10Rik"	360.283552285634	-0.0317206911415832	0.20009956964117	0.584736617567891	0.74649354520585	0.871251823216193
"1110006O24Rik"	30.3371993325033	-0.817651908019643	0.646475019582826	2.02109106473358	0.364020340516511	0.581091107928622
"1110007C09Rik"	67.4526732483808	0.378561459444811	0.391472371359992	1.81148425701554	0.404241774411621	0.621725296875211
"1110008F13Rik"	1839.70887652452	-0.0219185261543662	0.130197337715534	0.397124163634032	0.819908867728049	0.913004759305866
"1110008L16Rik"	795.865751963843	-0.204866076577512	0.149241889850144	2.0140706846488	0.365300366343663	0.582050749460834
"1110008P14Rik"	109.037210523792	-0.0590378103020918	0.319423433171093	0.202625779001707	0.903650245973235	0.955974468779603
"1110012L19Rik"	1785.34488690104	-0.103326506801849	0.122810058747689	2.15819384637297	0.339902345009998	0.555023584331751
"1110019D14Rik"	108.407249912142	0.320368426965677	0.327256722850814	1.15127697302842	0.562345704009882	0.751202091578153
"1110020A21Rik"	147.089956912213	-0.630649725753762	0.282152059255334	6.75497477687288	0.0341331103276286	0.108041418706584
"1110032A03Rik"	109.352601197332	-0.349567734016344	0.353567500177011	0.982108160322348	0.611980977076539	0.786655733838744
"1110034G24Rik"	30.0459643563091	0.332740483116811	0.627722931057104	0.292583693822898	0.863905538226535	0.936807463350801
"1110037F02Rik"	15098.9930086082	-0.11902879002215	0.0978249831010862	4.44683623302481	0.108238503982782	0.255147301884367
"1110038B12Rik"	7.50407971472691	1.00637309742827	1.44863263767738	1.69366009856714	0.428771965947564	0.643250074466578
"1110038F14Rik"	552.393253973214	0.301737265998742	0.17125571232931	3.21222285199383	0.200666405066636	0.393199574889354
"1110051M20Rik"	213.487040409984	-0.610632077174484	0.231782372288822	8.11286662161383	0.0173106508507023	0.0629625212840365
"1110059E24Rik"	968.380887995268	0.129349360105544	0.125170066712691	2.51600591599724	0.284221061512466	0.495435309523303
"1110059G10Rik"	1001.15469578381	-0.214828923199753	0.130460753667561	3.39384140134997	0.183246928305021	0.369236153299362
"1110065P20Rik"	143.534796249448	0.0263325194053138	0.276015831712092	0.0801513492311301	0.960716734531858	0.981913024574381
