"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"0610007P14Rik"	1242.23779480519	-0.00136005533896895	0.120908601365898	0.25245769106516	0.88141311624772	0.945604197317812
"0610009B22Rik"	505.977268061397	0.224159368333369	0.179048675592438	1.68687683453208	0.430228671583834	0.644361218373303
"0610009L18Rik"	25.0385747064121	1.23750452617568	0.633144227319254	6.69790703101746	0.0351210885509615	0.110381658541383
"0610009O20Rik"	283.513506233074	-0.135757655154787	0.215305651045855	3.94427650183511	0.139158981043712	0.304330357395963
"0610010F05Rik"	204.039991184568	-0.176388032618337	0.235989800478648	10.0124815773834	0.00669602783602143	0.0287372322751481
"0610010K14Rik"	1196.12862522605	-0.0116447553719031	0.146365286081844	0.094717534255409	0.953745163789948	0.978110156407795
"0610011F06Rik"	18.7593979636178	0.144277754363243	0.728110689598556	1.22277198932142	0.542598309313448	0.737333884387742
"0610012G03Rik"	2250.66380913609	0.00975783970086546	0.129838335686521	0.276486275975444	0.870886920308664	0.941391646225009
"0610030E20Rik"	342.54007162378	-0.030181336569093	0.189951040226718	0.0312933129754001	0.984475116501294	0.99260501108784
"0610037L13Rik"	271.027135974072	0.110385364058383	0.252988725635728	0.193891212576006	0.907605372815898	0.958220035626458
"0610038B21Rik"	226.165918888687	-0.159779916648989	0.24444472576594	0.841084859107625	0.65669051484566	0.817925153227407
"0610040B10Rik"	7.44312941852391	0.768223762822728	1.16622132537472	0.464106655493872	0.792903838403975	0.899759613870167
"0610040F04Rik"	127.778577741877	0.0208866575443028	0.306159034971311	2.30053035744632	0.31655281517677	0.532404437106202
"0610040J01Rik"	615.986980733356	-0.237417907457429	0.153153282748333	2.79662497096825	0.247013451213151	0.453282739985718
"1110001J03Rik"	61.7171524718085	-0.232754467551814	0.521187048540308	0.340644350385709	0.843393052501568	0.925984126458625
"1110002L01Rik"	4.58295787441206	0.680786376508636	1.55460678541074	2.09578230891392	0.350676492447726	0.566670950501565
"1110004E09Rik"	3445.7294597163	-0.0093659396597087	0.108032259398724	19.5310967819506	5.73952855678977e-05	0.000457862007084577
"1110004F10Rik"	360.283552285634	-0.112699245089176	0.19869190920969	0.584736617567891	0.74649354520585	0.871251823216193
"1110006O24Rik"	30.3371993325033	-0.015204238907525	0.625191171478152	2.02109106473358	0.364020340516511	0.581091107928622
"1110007C09Rik"	67.4526732483808	0.123920777597091	0.396511362379447	1.81148425701554	0.404241774411621	0.621725296875211
"1110008F13Rik"	1839.70887652452	0.0795017256877145	0.130069033770467	0.397124163634032	0.819908867728049	0.913004759305866
"1110008L16Rik"	795.865751963843	0.144619091385176	0.148621619885061	2.0140706846488	0.365300366343663	0.582050749460834
"1110008P14Rik"	109.037210523792	0.142842381901381	0.318860136231345	0.202625779001707	0.903650245973235	0.955974468779603
"1110012L19Rik"	1785.34488690104	-0.0766412418762673	0.122268332532541	2.15819384637297	0.339902345009998	0.555023584331751
"1110019D14Rik"	108.407249912142	-0.0437587120993414	0.328727304047498	1.15127697302842	0.562345704009882	0.751202091578153
"1110020A21Rik"	147.089956912213	-0.0353087445049752	0.274454499430671	6.75497477687288	0.0341331103276286	0.108041418706584
"1110032A03Rik"	109.352601197332	0.192847258345395	0.350627964112994	0.982108160322348	0.611980977076539	0.786655733838744
"1110034G24Rik"	30.0459643563091	-0.113864420476332	0.629395478599307	0.292583693822898	0.863905538226535	0.936807463350801
