"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"0610007P14Rik"	1242.23779480519	0.0519556003171765	0.121109063285057	0.25245769106516	0.88141311624772	0.945604197317812
"0610009B22Rik"	505.977268061397	0.170136432935415	0.179760648888335	1.68687683453208	0.430228671583834	0.644361218373303
"0610009L18Rik"	25.0385747064121	-0.252650914378988	0.670802769753201	6.69790703101746	0.0351210885509615	0.110381658541383
"0610009O20Rik"	283.513506233074	0.278746861350226	0.213652874161606	3.94427650183511	0.139158981043712	0.304330357395963
"0610010F05Rik"	204.039991184568	0.521699900994003	0.231746370904801	10.0124815773834	0.00669602783602143	0.0287372322751481
"0610010K14Rik"	1196.12862522605	0.0318180262551354	0.146568881984725	0.094717534255409	0.953745163789948	0.978110156407795
"0610011F06Rik"	18.7593979636178	-0.656048212139653	0.755088636949702	1.22277198932142	0.542598309313448	0.737333884387742
"0610012G03Rik"	2250.66380913609	-0.0539193004119367	0.130098360882998	0.276486275975444	0.870886920308664	0.941391646225009
"0610030E20Rik"	342.54007162378	-0.00243088017525284	0.190582090313793	0.0312933129754001	0.984475116501294	0.99260501108784
"0610037L13Rik"	271.027135974072	0.0436495835460167	0.254066877225683	0.193891212576006	0.907605372815898	0.958220035626458
"0610038B21Rik"	226.165918888687	-0.215771915042616	0.245774755662331	0.841084859107625	0.65669051484566	0.817925153227407
"0610040B10Rik"	7.44312941852391	0.252622903652974	1.19015559740323	0.464106655493872	0.792903838403975	0.899759613870167
"0610040F04Rik"	127.778577741877	-0.400039091405012	0.308356949273561	2.30053035744632	0.31655281517677	0.532404437106202
"0610040J01Rik"	615.986980733356	-0.0307691143671597	0.152874131478001	2.79662497096825	0.247013451213151	0.453282739985718
"1110001J03Rik"	61.7171524718085	0.0568727420305211	0.519024086393058	0.340644350385709	0.843393052501568	0.925984126458625
"1110002L01Rik"	4.58295787441206	-1.81374564767964	1.75673646222365	2.09578230891392	0.350676492447726	0.566670950501565
"1110004E09Rik"	3445.7294597163	0.402240293934943	0.107769825941005	19.5310967819506	5.73952855678977e-05	0.000457862007084577
"1110004F10Rik"	360.283552285634	-0.14441993623076	0.199575632665961	0.584736617567891	0.74649354520585	0.871251823216193
"1110006O24Rik"	30.3371993325033	-0.832856146927168	0.646082939404845	2.02109106473358	0.364020340516511	0.581091107928622
"1110007C09Rik"	67.4526732483808	0.502482237041902	0.393216412766786	1.81148425701554	0.404241774411621	0.621725296875211
"1110008F13Rik"	1839.70887652452	0.0575831995333482	0.130310283043214	0.397124163634032	0.819908867728049	0.913004759305866
"1110008L16Rik"	795.865751963843	-0.0602469851923361	0.149687541699735	2.0140706846488	0.365300366343663	0.582050749460834
"1110008P14Rik"	109.037210523792	0.083804571599289	0.320711926561782	0.202625779001707	0.903650245973235	0.955974468779603
"1110012L19Rik"	1785.34488690104	-0.179967748678116	0.122686008247509	2.15819384637297	0.339902345009998	0.555023584331751
"1110019D14Rik"	108.407249912142	0.276609714866336	0.32685269283241	1.15127697302842	0.562345704009882	0.751202091578153
"1110020A21Rik"	147.089956912213	-0.665958470258738	0.281827778414225	6.75497477687288	0.0341331103276286	0.108041418706584
"1110032A03Rik"	109.352601197332	-0.156720475670949	0.355296819578142	0.982108160322348	0.611980977076539	0.786655733838744
"1110034G24Rik"	30.0459643563091	0.218876062640479	0.62554687545647	0.292583693822898	0.863905538226535	0.936807463350801
"1110037F02Rik"	15098.9930086082	-0.205823404496433	0.0978072953673625	4.44683623302481	0.108238503982782	0.255147301884367
"1110038B12Rik"	7.50407971472691	-0.855730190906453	1.37780638186631	1.69366009856714	0.428771965947564	0.643250074466578
"1110038F14Rik"	552.393253973214	0.193574450880724	0.170823878216946	3.21222285199383	0.200666405066636	0.393199574889354
"1110051M20Rik"	213.487040409984	-0.118445510942171	0.235113655495532	8.11286662161383	0.0173106508507023	0.0629625212840365
"1110059E24Rik"	968.380887995268	0.194891559258045	0.125380288008071	2.51600591599724	0.284221061512466	0.495435309523303
"1110059G10Rik"	1001.15469578381	-0.0182950170246018	0.131006015932864	3.39384140134997	0.183246928305021	0.369236153299362
"1110065P20Rik"	143.534796249448	0.0768715652595102	0.276384974932545	0.0801513492311301	0.960716734531858	0.981913024574381
"1190002N15Rik"	12327.0144222381	-0.153580838639799	0.0890129881810495	3.05898287271431	0.216645817490596	0.414283866903988
"1190005I06Rik"	1600.44994916325	-0.011269379063977	0.108440759907523	1.00732525357751	0.604313227562241	0.781646012635182
"1190007I07Rik"	47.5593670324772	2.89774948793843	0.528966250151192	39.51460990139	2.62731099097115e-09	4.62169346116256e-08
"1200014J11Rik"	3429.49402114999	-0.37421742926124	0.101245682763705	25.9535423007737	2.31344882181067e-06	2.50788993046098e-05
"1300002E11Rik"	1207.97260669887	-0.0184825603834993	0.143350161318079	0.638972730577535	0.726522108227605	0.860136741986614
"1300017J02Rik"	6.07130929199591	-1.70937950243018	1.50008450140197	2.05793503398984	0.357375754542623	0.574056471813532
"1500004A13Rik"	196.992337383596	-0.712901263714621	0.365775739388332	38.1644740427521	5.16047596010673e-09	8.72617102784714e-08
"1500009C09Rik"	5.92569315536713	2.33277320151261	1.38418908891638	12.2901503985922	0.00214401465745787	0.0110081518651087
"1500011B03Rik"	921.249354094674	0.348155541573952	0.144866649647779	5.77682525201081	0.0556645029024174	0.157092750894246
"1500011K16Rik"	75.6085213489925	-0.467496656211386	0.398763217436744	2.04001931026548	0.360591458597873	0.577611868358857
"1500012F01Rik"	18.4251774760077	0.524552838861564	0.793271657279081	0.696160265050501	0.706042296995305	0.848357712771118
"1500015A07Rik"	186.613986690792	0.393875706692783	0.250227531923065	6.48480970928251	0.0390698247821443	0.119812466078406
"1500017E21Rik"	4.35444697764038	-0.695335681788598	1.60993774450677	0.282904045435497	0.86809682351213	0.939715300649129
"1500026H17Rik"	5.93176077984232	0.384764521054752	1.37849581756238	0.769219273990675	0.680716310810856	0.833822813023046
"1600002D24Rik"	19.3344088704752	-0.875089232009626	0.723248660642156	1.95696306629072	0.375881429219478	0.593135131518622
"1600002H07Rik"	757.756080381954	0.0153449549005513	0.142705988477345	1.26468031558145	0.531346909344077	0.72875542188188
"1600002K03Rik"	36.0491153721166	0.874324095732591	0.63846070795315	1.90770071644727	0.385254795066416	0.602711025358004
"1600012H06Rik"	10.1197480499101	-1.4457144168676	1.04844126026631	2.09953816108835	0.350018565876475	0.565898044953694
"1600014C10Rik"	13.753729713158	-2.1951506177942	1.06362367372709	4.21946748378091	0.121270251322995	0.277279877925789
"1600020E01Rik"	3.95035773635434	1.44612992319066	1.68818458511413	0.759964313693875	0.683873611565018	0.835884204786393
"1700001G11Rik"	5.90031774430644	-0.0947660444072133	1.32822205653189	1.14918352268247	0.56293463358412	0.751849380369557
"1700001G17Rik"	6.83167425400371	-0.642910473312658	1.21841752771633	0.323802468539689	0.850525203134777	0.929740546530937
"1700001L05Rik"	4170.26926449172	0.0439971587816938	0.107906043186825	0.225137536198659	0.893535898230275	0.952096476927818
"1700001L19Rik"	75.1494973185544	-1.49079565855011	0.439901772893157	13.0656573965571	0.00145488459409362	0.0078710185306447
"1700003M02Rik"	258.539719100917	-1.47425354647287	0.257197838029945	43.3239164527095	3.91138958555662e-10	7.75122280042836e-09
"1700007J10Rik"	6.75651417716135	0.83494845998345	1.2768544344783	0.431081345284419	0.806105483151454	0.906674724107258
"1700007L15Rik"	25.0733778114928	0.477613193852126	0.666630459723261	1.49033740999299	0.474654216646921	0.683634341727963
"1700008J07Rik"	48.6691392419008	-0.0502570750161858	0.463394761212499	1.31255937246758	0.518777764867283	0.719140888910127
"1700010D01Rik"	73.7424713632159	0.746831249266205	0.407748471452013	7.10211221358017	0.0286943193807993	0.0945344292977764
"1700010I14Rik"	489.151680282523	-0.18511092688323	0.179277968571924	42.7149413682834	5.30357035582462e-10	1.03957194716143e-08
"1700011A15Rik"	64.3692325630063	0.1456639778343	0.473571032635421	0.347008738404504	0.840713477906636	0.924310063812645
"1700011H14Rik"	10.269392600406	-6.99279719969621	1.76114275632616	18.6004194739414	9.14050584475308e-05	0.000694186967345059
"1700012A03Rik"	10.8403925854424	-0.471132312395354	1.04326967939425	0.455577202193744	0.796292577421186	0.901830607885153
"1700012B07Rik"	21.156126941045	-1.80978748357341	0.883709785194487	4.53926307520862	0.103350253750404	0.246599388171923
"1700012B09Rik"	7.89998329622351	-0.360413539026451	1.16282897512153	0.0968439019173744	0.952731696199572	0.977635722731284
"1700012D14Rik"	4.23542369216796	0.23641560823751	1.61878687608113	0.630994087634715	0.729426227354295	0.861804465925318
"1700012I11Rik"	4.03048562902083	0.128768101167295	1.62691059914249	0.0113985978014028	0.994316911293078	0.996949194052265
"1700016H13Rik"	41.4855571665942	-0.320270076157851	0.535927635018642	0.609595581577686	0.737272442598663	0.866481170834657
"1700016K19Rik"	47.1830192599864	-1.87916099777282	0.486339056552033	19.2766408203955	6.5182442624364e-05	0.000512880093331082
"1700017B05Rik"	2749.16307409297	-0.0372037311195313	0.120219093830154	0.433263616836797	0.805226392310357	0.906321258561965
"1700018B08Rik"	221.694487267039	-0.28927119486599	0.227226286207363	1.79712110485509	0.407155316860583	0.624296152619244
"1700018B24Rik"	1290.27741771495	-0.129603193655543	0.155029424336762	4.41667067877442	0.109883414944125	0.257958344321331
"1700018L02Rik"	4.36027784177273	-0.378980895866789	1.51118892380893	0.172252354340202	0.917478459080809	0.962437174892763
"1700019B03Rik"	11.0770721759435	-1.53406481467864	1.02023099670219	3.88333923202809	0.143464219546279	0.311372252335529
"1700019D03Rik"	57.6354719729209	-0.1319743380516	0.433936037423799	0.718769572671022	0.698105678138308	0.844241955812109
"1700019G17Rik"	11.482578604297	-1.90099481908291	1.02018500611061	3.44713921139594	0.178428091851383	0.362466655288053
